id,catalog_file_id,produit,description,prix,unite,image_filename
714,72,Steak haché surgelé,"12 SH à 19,80 LE KG",29.7,1,
715,72,colis boeuf,"colis 6,500 à 7KG environ prix 19,80 € / KG  
- partie fixe (entrecôte, faux filet, rôti, rumsteak )
- partie au choix 3 KG  à préciser  ( bourguignon ou/et jarret ou/et merguez ou/et steaks hachés surgelés)",130,1,
716,72,Colis de veau,"colis environ 5,500 KG prix 20,30 € / kg
rôti, côtes filets, côtes découvertes, escalopes, poitrine, sauté, saucisse pur veau",110,1,
718,73,boudin porc kintoa AOP 190 g ,bocal de 190 g,4.5,1,
719,73,Colis de porc Kintoa AOP,"Colis de viande fraiche 5 KG (sous vide)
rôti, saucisses, côtes, txistorra, ventrèche, boudinettes",75,1,
720,73,confit de porc kintoa AOP, bocal de 500 g,14,1,
721,73,saucisson de porc kintoa AOP,45€ le kg environ 230 g,10,1,
722,73,ventreche de porc kintoa AOP,poitrine séchée tranchée sous vide environ 220 g. 22 € le kg,4.8,1,
723,73,hure kintoa 190g,pâté de tête bocal de 190g,4.5,1,
724,73,jambon de porc kintoa AOP ,tranché sous vide environ 120 g à 90 € le kg (24 mois d'affinage),11,1,
726,73,saucisses confites kintoa,bocal de  500g,13,1,
727,73,pate porc kintoa ,bocal de190g,4.5,1,
728,73,coppa kintoa,sous vide environ 140 g. 45 € le kg,6.3,1,
730,74,Viande haché,500 G DLC 6 jours,10,1,
731,75,Araignee de porc  La ferme d'Arracq, Sous vide environ 300 G ,5.35,1,
732,75,Chair à saucisse La ferme d'Arracq,Sous vide environ 500 G ,5.95,1,
733,75,Lardons séchés La ferme d'Arracq,"Sous vide environ 200 G 
 ",3.54,1,
734,75,Txitorra par 5 La ferme d'Arracq,sous vide environ 350 G ,5.02,1,
735,75,Poitrine de porc tranchée par 5 La Ferme d'Arracq,Sous vide environ 250 G ,2.74,1,
736,75,Saucisse de Toulouse par 3 La Ferme d'Arracq,Sous vide environ 250 G ,3.59,1,
739,75,Chipolata par 5 La ferme d'Arracq,Sous vide environ 350 G ,5.02,1,
