Nom du produit,nom,code barre,fournisseur,unité de mesure,,Date dernière réception,prix,stock,vente hebdo,,Date du dernier inventaire
ail blanc frais_AIL BLACK _Kilo_,ail blanc frais,,AIL BLACK ,Kilo,,16/01/2025,"6,00",,,,23/04/2025
ail blanc nouveau_AIL BLACK _Kilo_,ail blanc nouveau,,AIL BLACK ,Kilo,,,"6,00","-0,072"
ail noir en gousse_AIL BLACK _Unite_,ail noir en gousse,,AIL BLACK ,Unite,,01/03/2025,"5,40",8,,,23/04/2025
AIL NOIR LE BULBE CONDIMENT AIL BLACK_AIL BLACK _Unite_,AIL NOIR LE BULBE CONDIMENT AIL BLACK,,AIL BLACK ,Unite,,08/02/2025,"5,40"
ail noir sac en toile_AIL BLACK _Unite_,ail noir sac en toile,,AIL BLACK ,Unite,,,"5,00"
AIL TRESSE BLANC OU VIOLET PIECE AIL BLACK_AIL BLACK _Unite_,AIL TRESSE BLANC OU VIOLET PIECE AIL BLACK,,AIL BLACK ,Unite,,,"4,00"
vinaigrette a l'ail noir pot de 40g_AIL BLACK _Unite_,vinaigrette a l'ail noir pot de 40g,,AIL BLACK ,Unite,,,"4,50"
courge shiatsu_ANGLARET Marion_Kilo_,courge shiatsu,,ANGLARET Marion,Kilo,,24/12/2024,"4,50"
radis rose botte_ANGLARET Marion_Unite_,radis rose botte,,ANGLARET Marion,Unite,,,"1,20"
salade batavia_ANGLARET Marion_Unite_,salade batavia,,ANGLARET Marion,Unite,,,"0,95"
cidre brut_Arbiodyn_Unite_3701540200079,cidre brut,3 701 540 200 079,Arbiodyn,Unite,,,"3,50",0,,,23/04/2025
jus de fruits pommes cerises_Arbiodyn_Unite_3701540200109,jus de fruits pommes cerises,3 701 540 200 109,Arbiodyn,Unite,,,"3,10"
jus de fruits pommes kiwi_Arbiodyn_Unite_3701540200055,jus de fruits pommes kiwi,3 701 540 200 055,Arbiodyn,Unite,,23/05/2025,"3,10",6,"2,00"
jus de fruits pommes sanguines_Arbiodyn_Unite_3701540200031,jus de fruits pommes sanguines,3 701 540 200 031,Arbiodyn,Unite,,26/04/2025,"2,11",-1
jus de pommes_Arbiodyn_Litres_3701540200000,jus de pommes,3 701 540 200 000,Arbiodyn,Litres,,23/05/2025,"2,90",-1
NOIX Franquette_Arbiodyn_Kilo_,NOIX Franquette,,Arbiodyn,Kilo,,,"7,00"
petillant demeter_Arbiodyn_Unite_3701540200086,petillant demeter,3 701 540 200 086,Arbiodyn,Unite,,08/03/2025,"3,50"
POMME CRIMSON ARBIODYN _Arbiodyn_Kilo_,POMME CRIMSON ARBIODYN ,,Arbiodyn,Kilo,,,"1,98"
pomme Dalireine_Arbiodyn_Kilo_,pomme Dalireine,,Arbiodyn,Kilo,,,"1,98"
pomme red love arbiodyn kilo_Arbiodyn_Kilo_,pomme red love arbiodyn kilo,,Arbiodyn,Kilo,,,"1,98"
POMMES CHANTECLERC_Arbiodyn_Kilo_,POMMES CHANTECLERC,,Arbiodyn,Kilo,,,"2,50"
POMMES CHANTECLERC_Arbiodyn_Kilo_,POMMES CHANTECLERC,,Arbiodyn,Kilo,,,"2,50"
POMMES DALIREINE ARBIODYN_Arbiodyn_Kilo_,POMMES DALIREINE ARBIODYN,,Arbiodyn,Kilo,,,"1,85"
pommes goldrush bio_Arbiodyn_Kilo_,pommes goldrush bio,,Arbiodyn,Kilo,,,"2,50"
pommes granny smith_Arbiodyn_Kilo_,pommes granny smith,,Arbiodyn,Kilo,,,"2,63"
POMMES PINOVA ARBIODYN_Arbiodyn_Kilo_,POMMES PINOVA ARBIODYN,,Arbiodyn,Kilo,,27/03/2025,"1,30"
pommes pinova bio_Arbiodyn_Kilo_,pommes pinova bio,,Arbiodyn,Kilo,,,"1,30"
pommes rougelles demeter_Arbiodyn_Kilo_,pommes rougelles demeter,,Arbiodyn,Kilo,,,"2,00"
PRUNE D ENTE BIO_Arbiodyn_Kilo_,PRUNE D ENTE BIO,,Arbiodyn,Kilo,,,"4,00"
prune d'ente bio_Arbiodyn_Kilo_,prune d'ente bio,,Arbiodyn,Kilo,,,"4,00"
PRUNE DATIL BIO_Arbiodyn_Kilo_,PRUNE DATIL BIO,,Arbiodyn,Kilo,,,"3,50"
prunes_Arbiodyn_Kilo_,prunes,,Arbiodyn,Kilo,,,"7,00"
Jus de pommes epices de noel_Arbiodyn_Unite_,Jus de pommes epices de noel,,Arbiodyn,Unite,,27/03/2025,"3,10"
Extrait flasque 50ml vanille Bourbon Madagascar 200g/L  avec graines_Authentic Products_Unite_3760200960128,Extrait flasque 50ml vanille Bourbon Madagascar 200g/L  avec graines,3 760 200 960 128,Authentic Products,Unite,,,"5,80"
poudre pure de vanille Papouasie nouvelle guinee tube_Authentic Products_Unite_3760200960371,poudre pure de vanille Papouasie nouvelle guinee tube,3 760 200 960 371,Authentic Products,Unite,,,"7,91"
